user_id,tourist_spot,feedback,rating,date_of_feedback
1,Adalaj Stepwell,Great place to visit,5,2024-03-13
2,Albert Hall Museum,Interesting exhibits,4,2024-03-13
3,Amber Fort,Loved the architecture,5,2024-03-13
4,Anjuna Beach,Beautiful sunset view,4,2024-03-13
5,Art of Living International Center,Peaceful atmosphere,4,2024-03-13
6,Baga Beach,Fun activities,3,2024-03-13
7,Bangalore Palace,Historical gem,5,2024-03-13
8,Bannerghatta National Park,Amazing wildlife,4,2024-03-13
9,Basilica of Bom Jesus,Historical significance,5,2024-03-13
10,Belur Math,Spiritual experience,4,2024-03-13
11,Betaab Valley,Scenic beauty,5,2024-03-13
12,Birla Mandir,Peaceful ambiance,4,2024-03-13
13,Calangute Beach,Fun in the sun,3,2024-03-13
14,Charminar,Cultural landmark,4,2024-03-13
15,Chhatarpur Temple,Divine vibes,4,2024-03-13
16,Chhatrapati Shivaji Maharaj Terminus,Architectural marvel,5,2024-03-13
17,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Art lovers paradise,5,2024-03-13
18,Chhota Kashmir,Tranquil garden,4,2024-03-13
19,City Palace,Impressive architecture,5,2024-03-13
20,Colva Beach,Relaxing getaway,4,2024-03-13
21,Cubbon Park,Green oasis,5,2024-03-13
22,Dakshineswar Kali Temple,Spiritual retreat,4,2024-03-13
23,Dal Lake,Serenity on water,5,2024-03-13
24,Dona Paula,Scenic views,4,2024-03-13
25,Dudhsagar Falls,Nature's beauty,5,2024-03-13
26,Elephanta Caves,Historical marvel,4,2024-03-13
27,Essel World,Fun-filled day,5,2024-03-13
28,Fort Aguada,Historical landmark,4,2024-03-13
29,Gandhi Smriti,Reflective experience,5,2024-03-13
30,Gateway of India,Iconic landmark,4,2024-03-13
31,Gavi Gangadhareshwara Temple,Awe-inspiring architecture,5,2024-03-13
32,Golconda Fort,Historical significance,4,2024-03-13
33,Gujarat Science City,Interactive learning,5,2024-03-13
34,Gulmarg,Scenic beauty,4,2024-03-13
35,Haji Ali Dargah,Spiritual experience,5,2024-03-13
36,HAL Aerospace Museum,Innovative exhibits,4,2024-03-13
37,Hauz Khas Complex,Historical charm,5,2024-03-13
38,Hauz Khas Village,Vibrant atmosphere,4,2024-03-13
39,Hawa Mahal,Architectural wonder,5,2024-03-13
40,Hawker's Bazaar,Local shopping experience,4,2024-03-13
41,Howrah Bridge,Iconic structure,5,2024-03-13
42,Humayun's Tomb,Historical masterpiece,4,2024-03-13
43,Hussain Sagar Lake,Scenic beauty,5,2024-03-13
44,ISKCON Temple,Spiritual retreat,4,2024-03-13
